#;Bandara/Stasiun;Waktu Pengamatan (Local Time);Angin;Jarak Pandang (km);Cuaca;Suhu (°C);Titik Embun (°C);Tekanan Udara (hPa)


67;Andi Jemma - Masamba;2019-07-15 13:00:00 WITA;;Tenang;8.0;Berawan;29;22;1010
68;Frans Sales Lega - Ruteng;2019-07-15 13:00:00 WITA;Utara;13.0;>=10;Berawan;22;16;1008
69;Kasiguncu - Poso;2019-07-15 13:00:00 WITA;Selatan;14.8;>=10;Cerah - berawan;32;20;1007
70;Sultan Bantilan - Toli Toli;2019-07-15 12:00:00 WITA;Barat;9.3;>=10;Cerah - berawan;31;24;1008
71;Sangia Nibandera - Kolaka;2019-07-15 13:00:00 WITA;;Tenang;>=10;Cerah - berawan;32;20;1009
72;Tardamu - Sabu;2019-07-15 13:00:00 WITA;Tenggara;27.8;>=10;Cerah - berawan;29;18;1013
73;Fransiskus Xaverius Seda - Maumere;2019-07-15 13:30:00 WITA;Tenggara;20.4;>=10;Cerah - berawan;31;18;1011
74;Haluoleo - Kendari;2019-07-15 13:00:00 WITA;Timur Laut;14.8;>=10;Berawan;30;25;1012
75;Beto Ambari - Bau Bau;2019-07-15 13:00:00 WITA;Timur Laut;14.8;>=10;Berawan;29;21;1012
76;Djalaluddin - Gorontalo;2019-07-15 13:00:00 WITA;Tenggara;22.2;>=10;Berawan;30;23;1007
77;Gewayantana - Larantuka;2019-07-15 13:00:00 WITA;Barat Daya;7.4;>=10;Cerah - berawan;31;17;1010
78;David Constantijn Saudale - Rote;2019-07-15 13:00:00 WITA;Tenggara;33.3;>=10;Cerah - berawan;29;16;1017
79;El Tari - Kupang;2019-07-15 13:30:00 WITA;Tenggara;33.3;>=10;Berawan;29;16;1011
80;Mali - Alor;2019-07-15 13:00:00 WITA;Utara;11.1;>=10;Cerah - berawan;30;19;1011
81;A.A. Bere Talo / Atambua;2019-07-15 13:00:00 WITA;Selatan;14.8;>=10;Cerah - berawan;29;15;1011
82;Sam Ratulangi - Manado;2019-07-15 13:30:00 WITA;Selatan;18.5;>=10;Cerah - berawan;33;21;1007
83;Naha - Tahuna;2019-07-15 11:00:00 WITA;Barat Daya;18.5;9.0;Cerah - berawan;30;23;1008
84;Emalamo - Sanana;2019-07-15 14:00:00 WIT;Timur;11.1;9.0;Berawan;30;22;1009
85;Namniwel - Namlea;2019-07-15 14:00:00 WIT;Tenggara;9.3;>=10;Berawan;29;23;1007
86;Sultan Babullah - Ternate;2019-07-15 14:30:00 WIT;Selatan;7.4;>=10;Cerah - berawan;30;22;1008
87;Oesman Sadik - Labuha;2019-07-15 14:00:00 WIT;Barat;9.3;9.0;Berawan;30;22;1008
88;Gamar Malamo - Galela;2019-07-15 14:00:00 WIT;Barat Daya;11.1;>=10;Berawan;32;20;1007
89;Pattimura - Ambon;2019-07-15 14:30:00 WIT;Barat Laut;9.3;5.0;Hujan ringan;23;22;1010
90;Amahai;2019-07-15 13:00:00 WIT;Selatan;9.3;9.0;Hujan ringan;24;23;1011
91;Bandaneira - Banda;2019-07-15 14:00:00 WIT;Timur;13.0;9.0;Berawan;27;22;1010
92;Domine Eduard Osok - Sorong;2019-07-15 14:00:00 WIT;Barat Daya;18.5;9.0;Berawan;28;24;1007
93;Mathilda Batlayeri - Saumlaki;2019-07-15 14:00:00 WIT;Tenggara;14.8;>=10;Berawan;26;20;1010
94;Torea - Fak Fak;2019-07-15 14:00:00 WIT;Selatan;9.3;>=10;Berawan;28;22;1010
95;Dumatubun - Langgur;2019-07-15 14:00:00 WIT;Tenggara;27.8;9.0;Berawan;27;22;1010
96;Utarom - Kaimana;2019-07-15 14:00:00 WIT;Selatan;16.7;>=10;Berawan;28;23;1008
97;Rendani - Manokwari;2019-07-15 14:30:00 WIT;Timur;11.1;>=10;Cerah - berawan;31;24;1007
98;Douw Aturure - Nabire;2019-07-15 14:10:00 WIT;Barat Laut;16.7;7.0;Gerimis ringan;30;23;1006
99;Frans Kaisiepo - Biak;2019-07-15 14:30:00 WIT;Barat Daya;7.4;>=10;Berawan;30;24;1007
100;Enarotali;2019-07-15 14:20:00 WIT;;Tenang;1.0;Hujan ringan;21;16;1007
101;Mozes Kilangin - Timika;2019-07-15 14:30:00 WIT;Tenggara;11.1;>=10;Berawan;29;24;1010
102;Mararena / Orai - Sarmi;2019-07-15 12:00:00 WIT;Timur Laut;5.6;>=10;Cerah - berawan;28;24;1009
103;Wamena;2019-07-15 14:00:00 WIT;Selatan;27.8;>=10;Hujan ringan;22;15;1017
104;Tanah Merah;2019-07-15 14:00:00 WIT;Tenggara;11.1;2.0;Berawan;24;24;1010
105;Mopah - Merauke;2019-07-15 14:00:00 WIT;Selatan;16.7;>=10;Berawan;27;22;1010
106;Sentani - Jayapura;2019-07-15 14:30:00 WIT;Barat Daya;5.6;8.0;Hujan ringan;27;24;1006
